FID,Funding_Pool_Name,Funding_Pool_Closing_Date,Financial_Year,Organisation_Name,Project_Event_Title,Confirmed_umbrella_organisation__Account_Name,Where_will_it_take_place_,Where_will_it_take_place__1,Venue,Project_Start_Date,Project_End_Date,Event_start_date,Event_end_date,Target_age_group,Target_age_group_1,Target_Population,Other_Specific_Group,Active_participants,Attendees,Physical_access,Financial_access,Total_Project_Cost,Other_Income_Your_Contribution,Difference,Amount_requested,Granted_Total_Amount,Final_Decision,Status,Outcome_1,Outcome_2,Outcome_3,Outcome_4,Outcome_5,Outcome_6,Outcome_7,Outcome_8,Outcome_9,Outcome_10,Link_to_website_for_your_project_event
1314,Creative Communities Local Funding Scheme (Legacy),2013-08-30T12:00:00.000Z,2013,Helen McIntosh,Fringe Festival: For Sale,-,-,-,Either St John's church or 19 Tory St at this stage,2/20/2014 12:00:00 AM,2/22/2014 12:00:00 AM,-,-,-,All,-,-,-,-,-,-,450,150,300,300,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
1315,,,,,,,,,"1 Kent Terrace, Mount Victoria, Wellington 6011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1316,Discretionary Funding,2017-06-29T12:00:00.000Z,2016,Holocaust Centre of New Zealand,UNIHRD 2017,-,-,"Karori; Thorndon - Pipitea",-,1/27/2017 12:00:00 AM,1/27/2017 12:00:00 AM,1/27/2017 12:00:00 AM,1/27/2017 12:00:00 AM,-,All,Wider community,-,-,-,-,-,5900,0,5900,3000,3000,Approved,Complete,"Attendance of the general public, event on 27 January is widely promoted to the community.",How many people attended,-,-,-,-,-,-,-,-,-
1317,Discretionary Funding,2016-06-29T12:00:00.000Z,2015,Holocaust Centre of New Zealand,UNIHRD 2016,-,-,"Karori; Thorndon - Pipitea",-,1/27/2016 12:00:00 AM,1/27/2016 12:00:00 AM,1/27/2016 12:00:00 AM,1/27/2016 12:00:00 AM,-,All,Wider community,-,-,-,-,-,5900,0,5900,3000,3000,Approved,Complete,Attendance of the general public at an open ceremony which is well promoted to Wellingtonians,-,-,-,-,-,-,-,-,-,-
1318,Creative Communities Local Funding Scheme,2016-08-30T12:00:00.000Z,2016,Short+Sweet New Zealand Limited,Short+Sweet Festival Wellington 2016,-,-,Mt Victoria,BATS Theatre,5/1/2016 12:00:00 AM,10/23/2016 12:00:00 AM,10/19/2016 12:00:00 AM,10/22/2016 12:00:00 AM,-,All,-,-,50,400,-,-,33310,27300,6010,6000,5500,Approved,Monitoring,"Encourage new talent to participate in the arts or in different creative roles, and build the quality of the local performing arts landscape.","At least 50 creative practitioners of all backgrounds and experience levels are supported to get involved and create new, high quality work, resulting in a strengthened and diverse performing arts scene and Short+Sweet Wellington community.","Provide a low cost, low risk, accessible platform for audiences of all types to experience high quality performing arts rooted in a local setting. At least 400 people attend the shows.","Create an inclusive and enjoyable event for all audiences to experience; encourage non-traditional theatre-goers to engage in a local performing arts Festival.",-,-,-,-,-,-,shortandsweet.org.nz
1319,Our Living City Fund,2015-10-28T12:00:00.000Z,2015,Helix Organics Ltd,Alternative weed management solutions -review,n/a,-,All of Wellington City,-,1/15/2016 12:00:00 AM,4/30/2016 12:00:00 AM,10/23/2015 12:00:00 AM,10/23/2015 12:00:00 AM,-,All,All,N/A,-,-,-,Free to all,5000,0,5000,5000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,N/A
1320,Creative Communities Local Funding Scheme (Feb 15 to Jul 16),2016-02-28T12:00:00.000Z,2015,He Whanau Manaaki o Tararua Free Kindergarten Association Incorporated,"Place based mural - Tūranga waewae tātou, ko wai tātou",-,-,Tawa - Grenada North - Takapu Valley,Brian Webb Kindergarten,3/7/2016 12:00:00 AM,3/25/2016 12:00:00 AM,3/25/2016 12:00:00 AM,3/25/2016 12:00:00 AM,-,-,-,-,70,70,-,-,2107.19,200,1907.19,1900,1000,Approved,Monitoring,The 70 members of our kindergarten community will experience using different art materials and processes,Members of our kindergarten community will participate in the application of art materials to create the art work,Members of our kindergarten community will experience working alongside a renowned local Māori Artist,Our kindergarten community story and place of belonging will artistically visual,The children of our kindergarten community will be inspired to continue engaging in and creating art work that reflects the experience of creating these mural art works,-,-,-,-,-,-
1321,Arts And Culture Fund,2014-07-30T12:00:00.000Z,2014,Holocaust Centre of New Zealand,Educational Film resource for New Zealand Teachers,-,-,"All of Wellington City; Te Aro","This project will extend beyond a single venue. The film will be shot at the seminar in Israel, but will be shown at the Holocaust Centre in Wellington and distributed across the country.",11/1/2014 12:00:00 AM,2/28/2015 12:00:00 AM,7/31/2014 12:00:00 AM,7/31/2014 12:00:00 AM,-,All,Other specific group,Teachers,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",Free to all,126800,120000,6800,5000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
1322,,,,,,,,,1 Kent Terrace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1323,,,,,,,,,28 Victory Crescent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1324,Arts And Culture Fund,2015-10-26T12:00:00.000Z,2015,Homies Cosy Teahouse,Cities,-,-,Aro Valley - Highbury,Inverlochy Art School. An art community which I am supporting by using and paying for their unused spaces.,12/1/2015 12:00:00 AM,3/5/2016 12:00:00 AM,3/1/2016 12:00:00 AM,3/5/2016 12:00:00 AM,-,All,All,Children,-,-,Clearly visible signage,-,1129.8,250,879.8,879.8,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,https://www.facebook.com/Tea-Leaf-Soldiers-205988926248217/
1325,,,,,,,,,Mt Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326,,,,,,,,,Tawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1327,,,,,,,,,Wellington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,Creative Communities Local Funding Scheme (Feb 15 to Jul 16),2015-08-30T12:00:00.000Z,2015,Homies Cosy Teahouse,Nightmare,-,-,All of Wellington City,Newtown Community Centre,8/2/2015 12:00:00 AM,11/7/2015 12:00:00 AM,10/26/2015 12:00:00 AM,11/7/2015 12:00:00 AM,-,All,-,-,15,144,-,-,3789.1,1800,1989.1,1989.1,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,https://www.facebook.com/ladysweetmuff?fref=ts this is a link to the group the director of this play runs. https://www.facebook.com/pages/Tea-Leaf-Soldiers/205988926248217?fref=ts this is a link to the writer of the play's theatre group.
1329,Arts And Culture Fund,2015-07-06T12:00:00.000Z,2015,Short+Sweet New Zealand Limited,Short+Sweet Theatre Wellington 2015,-,-,"Oriental Bay; Wellington Central","BATS Theatre, 1 Kent Terrace, Wellington",7/24/2015 12:00:00 AM,11/8/2015 12:00:00 AM,11/4/2015 12:00:00 AM,11/8/2015 12:00:00 AM,-,All,All,-,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance","Community Service/Gold card discount; User pays",43965,36700,7265,7000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,http://www.shortandsweet.org.nz/
1330,Tawa Community Funding,2016-02-28T12:00:00.000Z,2015,He Whanau Manaaki o Tararua Free Kindergarten Association Incorporated,Replacement Couches,-,-,Tawa,-,4/1/2016 12:00:00 AM,4/30/2016 12:00:00 AM,2/26/2016 12:00:00 AM,2/26/2016 12:00:00 AM,-,Children,Wider community,Parents and Teachers,-,-,-,-,1684,0,1684,1684,1000,Approved,Complete,Children will have a clean comfortable place to sit and do quite activities such as reading books.,Teachers will be able to clean up any toileting accidents or other messes quickly and hygienically.,Family and Whanau visiting our kindergarten will feel comfortable sitting on clean couches.,-,-,-,-,-,-,-,-
1331,Neighbours Day Aotearoa Fund,2014-10-28T12:00:00.000Z,2014,Houghton Valley Progressive Association Inc,Neighbours Summer Art Workshop,-,-,Southgate - Houghton Bay,-,1/24/2015 12:00:00 AM,3/1/2015 12:00:00 AM,3/1/2014 12:00:00 AM,3/1/2015 12:00:00 AM,-,Seniors,Wider community,Young people and children,-,-,-,-,500,0,500,500,500,Approved,Complete,To connect neighbours and others from wider community through a community art project.,"Introduce new people to the neighbourhood and make them welcome, including newcomers, families with young children and older residents.","Provide an opportunity to meet neighbours on a personal level, estimate % of households attending/involved in the project/event.",-,-,-,-,-,-,-,-
1332,Neighbours Day Aotearoa Fund,2016-10-27T12:00:00.000Z,2016,Houghton Valley Progressive Association Inc,Neighbours Day 2017,-,-,Melrose,-,3/25/2017 12:00:00 AM,10/27/2017 12:00:00 AM,3/25/2017 12:00:00 AM,3/27/2017 12:00:00 AM,-,All,All,New residents,-,-,-,-,500,0,500,500,500,Approved,Monitoring,Making use of resources on http://wellington.govt.nz/services/community-and-culture/community-resources/resources-for-neighbourhoods,Prepare kit for new residents,Provide orientation on the day to resources in the neighbourhood.,"We will also ensure that the whole community (in the area related to the project) will be invited, ideally in person, via a phone call or printed invitation, event will also be promoted via; social media, local papers, school newsletters etc.","We will agree on what happens next and how we keep in touch with our neighbours - including people who weren’t there; e.g. a follow-up event, or by exchanging contact details via a printed or email contact list or via social media.",-,-,-,-,-,-
1333,Tawa Community Funding,2016-02-28T12:00:00.000Z,2015,He Whanau Manaaki o Tararua Free Kindergarten association Incorporated,Concrete paving - Brian Webb Kindergarten,He Whanau Manaaki o Tararua Free Kindergarten Association Incorporated,-,Tawa,-,4/18/2016 12:00:00 AM,4/22/2016 12:00:00 AM,2/28/2016 12:00:00 AM,2/28/2016 12:00:00 AM,-,Children,All,There are a small number of children from the Porirua area.,-,-,-,-,1450,200,1250,1250,1000,Approved,Complete,Safe pathways to provide alternative to the muddy areas the children currently use.,Improved aesthetic due to less mud both outside and inside.,-,-,-,-,-,-,-,-,-
1334,Arts And Culture Fund,2014-03-30T12:00:00.000Z,2013,Show Me Shorts Film Festival Trust Board,Show Me Shorts Film Festival,-,-,Wellington Central,Paramount Cinema,11/13/2014 12:00:00 AM,11/23/2014 12:00:00 AM,-,-,-,All,All,-,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance","Community Service/Gold card discount; User pays",9754.36,7297.04,2457.32,2457.32,2000,Approved,Complete,"Show Me Shorts aims to grow the 2014 box office in Wellington by 20%, further increasing the number of local residents who take up the opportunity to experience and engage with the contemporary, high-quality short films we curate.","Show Me Shorts aims to maintain the high level of entries we receive from the Wellington region, so that we can continue to have high representation (25% of local films) from this region in our national programme.","Show Me Shorts aims to attract another capacity crowd at our annual Wellington Short Film Talk educational event for film enthusiasts, film students and aspiring filmmakers.",Show Me Shorts aims to encourage youth participation in the film industry by increasing (by 50%) the number of Wellington schools who attend special educational screenings of short films.,"Show Me Shorts aims to deliver to Wellington residents a unique experience on a par with the best short film festivals in the world. The level of quality will be measured through: Wellington audience survey responses, feedback from local film reviewers.",-,-,-,-,-,-
1335,Social And Recreation Fund,2017-03-30T12:00:00.000Z,2016,Houghton Valley Progressive Association Inc,Community Organistion Support,-,-,Melrose,-,5/1/2017 12:00:00 AM,4/30/2018 12:00:00 AM,3/30/2017 12:00:00 AM,3/30/2017 12:00:00 AM,-,All,All,New residents,-,-,Clearly visible signage,"Free to all; Koha/donation; User pays",1500,0,1500,1500,500,Approved,Monitoring,"Have a committee meeting/AGM at least twice a year (as per your constitution/rules), have an active membership of 10 or more - excluding the committee, keep accurate and detailed accounts and make your accounts and minutes available to WCC.","Communicate with residents in the area, in appropriate ways to reach as many people as possible - moving to digital formats rather than printed material (e-newsletters, website, social media ), please add us to any electronic email distribution lists.",Have an up to date profile on CommunityFinder.org.nz,"Grow your membership in the year, tell us how you have done this and how you have measured this","Have a positive inclusive approach to working with all residents, reporting on examples of projects or initiatives that build connections and neighbourliness.",-,-,-,-,-,http://www.houghtonvalley.org.nz
1336,Arts And Culture Fund,2015-03-21T12:00:00.000Z,2014,Sing Your Lungs Out (Community Chronic Lung Disease Choir),Sing Your Lungs Out Community Choir,-,-,All of Wellington City,Newtown Community Hall and various concert venues during year,4/1/2015 12:00:00 AM,3/31/2016 12:00:00 AM,2/27/2015 12:00:00 AM,2/27/2015 12:00:00 AM,-,All,Other specific group,People with chronic lung diseases,-,-,-,Free to all,3847.5,847.5,3000,3000,1960,Approved,Monitoring,A financially viable community singing group for people with chronic lung disease,At least 3 public performances each year to raise awareness about chronic lung disease and provide a focus for choir members,Increased levels of activity and engagement in the community for choir members,-,-,-,-,-,-,-,https://www.facebook.com/pages/Sing-Your-Lungs-Out/279477085595109
1337,C H Izard Bequest,2016-03-10T12:00:00.000Z,2015,Island Bay Playcentre,Sandpit covers,-,-,-,-,11/26/2015 12:00:00 AM,11/26/2015 12:00:00 AM,11/26/2015 12:00:00 AM,11/26/2015 12:00:00 AM,-,Children,All,-,-,-,-,-,1560,0,1560,1560,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,https://www.facebook.com/Island-Bay-Playcentre-312105768900494/
1338,Tawa Community Funding,2017-02-27T12:00:00.000Z,2016,He Whanau Manaaki o Tararua Free Kindergarten Association Incorporated,Purchase of Digital Cameras,-,-,All of Tawa,-,4/3/2017 12:00:00 AM,4/28/2017 12:00:00 AM,2/8/2017 12:00:00 AM,2/8/2017 12:00:00 AM,-,Children,Wider community,Parents and Teachers,-,-,-,-,887.74,100,787.74,787.74,200,Approved,Complete,Teachers will be able to record moments during session to assist with learning stories for the children.,Teachers can share photos of activities that have taken place during the day with families.,Photos can be shared on social media (non-identifying) to promote the kindergarten.,-,-,-,-,-,-,-,-
1339,Social And Recreation Fund,2014-10-28T12:00:00.000Z,2014,Sing Your Lungs Out (Community Chronic Lung Disease Choir),Sing Your Lungs Out,-,-,Newtown,-,10/22/2014 12:00:00 AM,10/21/2016 12:00:00 AM,10/22/2014 12:00:00 AM,10/22/2014 12:00:00 AM,-,Seniors,People with Disabilities,People with chronic lung diseases,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair access to main entrance",Free to all,3360,300,3060,3000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
1340,Arts And Culture Fund,2015-03-21T12:00:00.000Z,2014,Show Me Shorts Film Festival Trust Board,Show Me Shorts Film Festival,-,-,Wellington Central,Paramount Cinema,11/12/2015 12:00:00 AM,11/25/2015 12:00:00 AM,-,-,-,All,All,-,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance","Community Service/Gold card discount; User pays",20115.1,11107.18,9007.92,4477.93,2000,Approved,Complete,"Show Me Shorts aims to grow the 2015 box office in Wellington by 20%, further increasing the number of local residents who take up the opportunity to experience and engage with the contemporary, high-quality short films we curate.","Show Me Shorts aims to maintain the high level of entries we receive from the Wellington region, so that we can continue to have high representation from this region in our national programme.","Show Me Shorts aims to attract a large crowd at our annual Wellington Short Film Talk educational event for film enthusiasts, film students and aspiring filmmakers.",Show Me Shorts aims to encourage youth participation in the film industry by attracting Wellington schools to attend special educational screenings of short films.,Show Me Shorts aims to deliver to Wellington residents and visitors a unique experience on a par with the best short film festivals in the world.,-,-,-,-,-,-
1341,Community Venue Assistance (Project/One off costs),2015-07-30T12:00:00.000Z,2014,Island Bay Presbyterian Church,Island Bay Presbyterian Community Garden,-,-,-,-,9/1/2015 12:00:00 AM,11/30/2015 12:00:00 AM,6/25/2015 12:00:00 AM,6/25/2015 12:00:00 AM,-,All,Wider community,Families,-,-,-,-,24090,10000,14090,5000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
1342,Community Venue Assistance (Project/One off costs),2015-11-29T12:00:00.000Z,2015,Houghton Valley Progressive Association Inc,Kitchen Upgrade,-,-,-,-,1/21/2016 12:00:00 AM,3/31/2016 12:00:00 AM,11/27/2015 12:00:00 AM,11/27/2015 12:00:00 AM,-,All,Wider community,We feel it is important to welcome manuhiri/visitors appropriately and that the sharing of food is an important part of this process.,-,-,-,-,4200,0,4200,4200,4200,Approved,Monitoring,Improvements to kitchen area which will improve the facility attracting wider community use and increasing potential income for the association.,Hall has wide community use and is promoted to locals- used for light catering events and community coffee mornings monthly,-,-,-,-,-,-,-,-,www.houghtonvalley.org.nz
1343,Tawa Community Funding,2017-02-27T12:00:00.000Z,2016,He Whanau Manaaki o Tararua Free Kindergarten Association Incorporated,Brian Webb Kindergarten outdoor education upgrade,-,-,Tawa,-,2/22/2017 12:00:00 AM,3/31/2017 12:00:00 AM,2/22/2017 12:00:00 AM,2/22/2017 12:00:00 AM,-,Children,Wider community,-,-,-,-,-,1534,0,1534,1534,500,Approved,Monitoring,Purchase of water trough/s for children to use at kindergarten.,Encourage safe water play in a safe learning environment,-,-,-,-,-,-,-,-,-
1344,Social And Recreation Fund,2016-03-10T12:00:00.000Z,2015,Sing Your Lungs Out (Community Chronic Lung Disease Choir),Sing Your Lungs Out (SYLO) Community Choir,-,-,All of Wellington City,-,3/9/2016 12:00:00 AM,3/31/2017 12:00:00 AM,3/9/2016 12:00:00 AM,3/9/2016 12:00:00 AM,-,All,Other specific group,People with chronic lung disease,-,-,"Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",Free to all,4150,2500,1650,1500,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,https://www.facebook.com/pages/Sing-Your-Lungs-Out/279477085595109
1345,Discretionary Funding,2015-06-29T12:00:00.000Z,2014,Sister Cities New Zealand Inc,Sister Cities Conference 2015,-,-,Wellington Central,-,4/10/2015 12:00:00 AM,4/11/2015 12:00:00 AM,3/10/2015 12:00:00 AM,3/10/2015 12:00:00 AM,-,All,Other specific group,Sister city community organisations,-,-,-,-,34200,30000,4200,3000,3000,Approved,Complete,"Cultural impact - interaction with local iwi (e.g. powhiri), demonstrating Maori culture and protocol to visitors.","Youth - local Wellington youth council engaged, sister city development programme, also Ministry of Youth Development will support a youth workshop on day two.",International visitors coming to Wellington.,"Networking between local government, embassies, corporates, central government, community organisations, and individuals.",Visitors from other regions of New Zealand (from Far North to Stewart Island) visiting Wellington.,-,-,-,-,-,www.sistercities.org.nz
1346,Tawa Community Funding,2015-02-27T12:00:00.000Z,2014,He Whanau Manaaki o Tararua Free Kindergarten Association Incorporated,Gardening Supplies,-,-,Tawa,-,4/1/2015 12:00:00 AM,4/30/2015 12:00:00 AM,2/25/2015 12:00:00 AM,2/25/2015 12:00:00 AM,-,Children,All,Parents,-,-,-,-,401.27,50,351.27,351.27,400,Approved,Complete,Children will learn about our bi-cultural heritage through respectful relationships with our environment.,Children will learn how to take care of our environment and gain an understanding of where food comes from through real experiences.,Families will be able to benefit from the produce grown. The kindergarten will encourage parents to share resources and their knowledge to make this a success.,"Children and teachers will learn alongside one another developing our understanding of science, mathematical and horticultural outcomes.",-,-,-,-,-,-,-
1347,Arts And Culture Fund,2016-08-08T12:00:00.000Z,2016,He Whanau Manaaki o Tararua Free Kindergarten association Incorporated,Berhampore Kindergarten Centenary Celebration,-,-,All of Wellington City,"Berhampore Kindergarten, 5 Stanley Street, Berhampore",11/1/2016 12:00:00 AM,4/15/2017 12:00:00 AM,4/8/2017 12:00:00 AM,4/8/2017 12:00:00 AM,-,All,Wider community,"Past and present pupils and their families, associated businesses and social groups",-,-,"Clearly visible signage; Wheelchair accessible toilet","Free to all; Koha/donation; User pays",6685.17,4800,1885.17,1000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
1348,Betty Campbell Accommodation Assistance (Rental),2015-06-29T12:00:00.000Z,2015,Skylight -The Children's Grief Centre Charitable Trust,Help with Skylight's rent Year 2 of 3 (2015-2016),-,-,-,-,10/1/2014 12:00:00 AM,3/31/2015 12:00:00 AM,9/9/2015 12:00:00 AM,9/9/2015 12:00:00 AM,-,-,-,-,-,-,-,-,59333.04,0,59333.04,10000,5000,Approved,Complete,"1200 - 1300 people attending counselling sessions in Wellington, through high quality sessions and effective counselling triaging",250 people/organisations from Wellington requested/sent personalised information support packs and 230 people/organisations from Wellington requesting/provided library loan items and brochures,A range of community groups and individuals able to access training sessions and/or to use community training rooms,-,-,-,-,-,-,-,-
1349,Waste Minimisation Seed Fund under $2000,2017-05-25T12:00:00.000Z,2016,He Whanau Manaaki o Tararua Free Kindergarten Association Incorporated,Participation in healthy soil programme,-,-,Newlands - Ngauranga,Newlands kindy,4/30/2017 12:00:00 AM,4/12/2018 12:00:00 AM,4/30/2017 12:00:00 AM,4/30/2017 12:00:00 AM,-,Children,All,We have 25 different cultures represented at our kindy,-,-,-,Koha/donation,2460,460,2000,2000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
1350,Social And Recreation Fund,2017-03-30T12:00:00.000Z,2016,Island Bay Residents Association Incorporated,Island Bay Residents Association Incorporated,-,-,-,-,3/17/2017 12:00:00 AM,3/16/2018 12:00:00 AM,3/17/2017 12:00:00 AM,3/17/2017 12:00:00 AM,-,All,Wider community,-,-,-,-,-,1500,0,1500,1500,1500,Approved,Monitoring,"Have a committee meeting/AGM at least twice a year (as per your constitution/rules), have an active membership of 10 or more - excluding the committee, keep accurate and detailed accounts and make your accounts and minutes available to WCC.","Communicate with residents in the area, in appropriate ways to reach as many people as possible - moving to digital formats rather than printed material (e-newsletters, website, social media ), please add us to any electronic email distribution lists.",Have an up to date profile on CommunityFinder.org.nz,"Grow your membership in the year, tell us how you have done this and how you have measured this.","Have a positive inclusive approach to working with all residents, reporting on examples of projects or initiatives that build connections and neighbourliness.",-,-,-,-,-,-
1351,Arts And Culture Fund,2017-03-30T12:00:00.000Z,2016,Show Me Shorts Film Festival Trust Board,12th Annual Show Me Shorts Film Festival,-,-,Wellington Central,The Embassy & ACG Yoobee School of Design,10/28/2017 12:00:00 AM,1/10/2018 12:00:00 AM,11/2/2017 12:00:00 AM,11/15/2017 12:00:00 AM,-,All,All,-,-,-,"Clearly visible signage; Hearing loop/digital listener; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance","Community Service/Gold card discount; Free to all; User pays",46046.86,41177.1,4869.76,4869.76,3000,Approved,Monitoring,"1) Show Me Shorts aims to grow our Wellington audience by 7%, further increasing the number of local residents who take up the opportunity to experience and engage with the contemporary, high-quality short films we curate. At least 2000 tickets are sold.","2) Show Me Shorts aims to maintain the high number of entries we receive from the Wellington region, so that we can continue to have strong representation from this region in our national programme.","3) Show Me Shorts aims to attract a large crowd at our annual Wellington Short Film Talk educational event for film enthusiasts, film students and aspiring filmmakers.",4) Show Me Shorts aims to deliver to Wellington residents and visitors a unique experience on a par with the best short film festivals in the world.,-,-,-,-,-,-,www.showmeshorts.co.nz
1352,Arts And Culture Fund,2016-03-21T12:00:00.000Z,2015,Show Me Shorts Film Festival Trust Board,The 11th Annual Show Me Shorts Film Festival,-,-,Wellington Central,Paramount & ACG Yoobee School of Design,11/4/2016 12:00:00 AM,1/8/2017 12:00:00 AM,11/10/2016 12:00:00 AM,11/23/2016 12:00:00 AM,-,All,All,-,-,-,"Clearly visible signage; Hearing loop/digital listener; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance","Community Service/Gold card discount; Free to all; User pays",43779.33,39650,4129.33,4129.33,3000,Approved,Complete,"Show Me Shorts aims to grow our Wellington audience, further increasing the number of local residents who take up the opportunity to experience and engage with the contemporary, high-quality short films we curate. Audience is increased by at least 7%.","Show Me Shorts aims to maintain the high number of entries we receive from the Wellington region, so that we can continue to have strong representation from this region in our national programme.","Show Me Shorts aims to attract a large crowd at our annual Wellington Short Film Talk educational event for film enthusiasts, film students and aspiring filmmakers.",Show Me Shorts aims to deliver to Wellington residents and visitors a unique experience on a par with the best short film festivals in the world.,-,-,-,-,-,-,www.showmeshorts.co.nz
1353,Social And Recreation Fund,2015-10-27T12:00:00.000Z,2015,Island Bay Residents Association Incorporated,Setup Project - Island Bay Residence Association,-,-,Island Bay - Owhiro Bay,-,10/26/2015 12:00:00 AM,12/15/2015 12:00:00 AM,10/15/2015 12:00:00 AM,10/15/2015 12:00:00 AM,-,All,All,Residences,-,-,-,Koha/donation,4500,0,4500,1500,1500,Approved,Complete,"Setup of Island Bay Residents Association- developing communication channels (website, social media etc) and determine priorities for the association based on diverse and broad community membership","Have a committee meeting/AGM at least twice a year (as per our constitution/rules), have an active membership of 10 or more- excluding committee, keep accurate and detailed accounts, make your accounts and minutes available to Wellington City Council.","Communicate with residents in the area defined by our rules, promote community activity, events, meetings etc in appropriate ways - e.g. printed or digital (e-newsletters, website, social media etc)",-,-,-,-,-,-,-,-
1354,Creative Communities Local Funding Scheme (Feb 15 to Jul 16),2015-08-30T12:00:00.000Z,2015,He Whanau Manaaki o Tararua Free Kindergarten association Incorporated,Place based mural - Taa tatou tuurangawaewae,-,-,-,Brian Webb Kindergarten,10/8/2015 12:00:00 AM,10/8/2015 12:00:00 AM,11/19/2015 12:00:00 AM,11/26/2015 12:00:00 AM,-,Children,-,-,70,-,-,-,2207.19,200,2007.19,2000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
1355,Betty Campbell Accommodation Assistance (Rental),2016-06-29T12:00:00.000Z,2016,Skylight -The Children's Grief Centre Charitable Trust,Help with Skylight's rent Year 3 of 3 (2016-2017),-,-,-,-,10/1/2014 12:00:00 AM,3/31/2015 12:00:00 AM,9/9/2015 12:00:00 AM,9/9/2015 12:00:00 AM,-,-,-,-,-,-,-,-,59333.04,0,59333.04,10000,5000,Approved,Complete,"1200 - 1300 people attending counselling sessions in Wellington, through high quality sessions and effective counselling triaging",250 people/organisations from Wellington requested/sent personalised information support packs and 230 people/organisations from Wellington requesting/provided library loan items and brochures,A range of community groups and individuals able to access training sessions and/or to use community training rooms,-,-,-,-,-,-,-,-
1356,,,,,,,,,28 Victory Crescent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1357,Communities On Bikes Fund,2016-09-15T12:00:00.000Z,2016,Island Bay Residents Association Incorporated,Junior Bike Track,-,-,Island Bay - Owhiro Bay,-,9/15/2016 12:00:00 AM,9/15/2016 12:00:00 AM,9/15/2016 12:00:00 AM,9/15/2016 12:00:00 AM,-,Children,All,parents,-,-,-,-,20000,0,20000,20000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
1358,Arts And Culture Fund,2013-07-30T12:00:00.000Z,2013,Show Me Shorts Film Festival Trust Board,Show Me Shorts Film Festival,-,-,Wellington Central,Paramount Cinema,11/14/2013 12:00:00 AM,11/24/2013 12:00:00 AM,-,-,-,All,All,-,-,-,"Clearly visible signage; Wheelchair accessible toilet; Wheelchair access to main entrance","Community Service/Gold card discount; User pays",26152.08,6524,19628.08,19628,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
1359,General Grants,2012-08-30T12:00:00.000Z,2012,Skylight - The Children's Grief Centre Charitable Trust,Waves - Bereaved by Suicide Support Group,-,-,Newtown,-,1/28/2013 12:00:00 AM,3/25/2013 12:00:00 AM,-,-,-,All,All,-,-,-,-,-,5465,0,5465,5464,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
1360,Social And Recreation Fund,2013-07-30T12:00:00.000Z,2013,Island Bay Softball Club Inc,Coaching Program 2013,-,-,Island Bay - Owhiro Bay,-,8/25/2013 12:00:00 AM,7/29/2014 12:00:00 AM,-,-,-,Children,Wider community,-,-,-,Clearly visible signage,Koha/donation,4700,750,3950,3000,2500,Approved,Complete,"Increased participation, provide details of numbers participating at the start and end of the programme",Increase representation of Island Bay athletes,Support the development of the sport and develop community partnerships,-,-,-,-,-,-,-,-
1361,,,,,,,,,25 Courtenay Pl Wellington 6011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1362,,,,,,,,,Tawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
